sample_id,file,token_count,llm_token_count,expected_count,llm_count,tp,fp,fn,precision,recall,match,ex_llm_count,ex_tp,ex_fp,ex_fn,ex_precision,ex_recall,ex_match
correction_report_prune_0.0005.json::sample_0,correction_report_prune_0.0005.json,79,80,7,26,6,20,1,0.2308,0.8571,0,12,6,6,1,0.5,0.8571,0
correction_report_prune_0.0005.json::sample_1,correction_report_prune_0.0005.json,78,77,7,5,0,5,7,0.0,0.0,0,7,1,6,6,0.1429,0.1429,0
correction_report_prune_0.0005.json::sample_2,correction_report_prune_0.0005.json,92,96,11,44,2,42,9,0.0455,0.1818,0,16,3,13,8,0.1875,0.2727,0
correction_report_prune_0.0005.json::sample_3,correction_report_prune_0.0005.json,127,124,16,10,2,8,14,0.2,0.125,0,15,5,10,11,0.3333,0.3125,0
correction_report_prune_0.0005.json::sample_4,correction_report_prune_0.0005.json,130,131,14,6,1,5,13,0.1667,0.0714,0,19,3,16,11,0.1579,0.2143,0
correction_report_prune_0.0005.json::sample_5,correction_report_prune_0.0005.json,257,257,36,4,0,4,36,0.0,0.0,0,53,7,46,29,0.1321,0.1944,0
correction_report_prune_0.0005.json::sample_6,correction_report_prune_0.0005.json,260,222,33,20,5,15,28,0.25,0.1515,0,37,12,25,21,0.3243,0.3636,0
correction_report_prune_0.0005.json::sample_7,correction_report_prune_0.0005.json,378,355,57,4,0,4,57,0.0,0.0,0,81,28,53,29,0.3457,0.4912,0
correction_report_prune_0.0005.json::sample_8,correction_report_prune_0.0005.json,355,345,34,3,0,3,34,0.0,0.0,0,46,3,43,31,0.0652,0.0882,0
correction_report_prune_0.0005.json::sample_9,correction_report_prune_0.0005.json,571,6,56,4,0,4,56,0.0,0.0,0,6,0,6,56,0.0,0.0,0
correction_report_prune_0.0005.json::sample_10,correction_report_prune_0.0005.json,561,328,51,40,7,33,44,0.175,0.1373,0,57,2,55,49,0.0351,0.0392,0
